"id","source","offset","ownerType","ownerMethod","original"
"E0040","sharedassets0.assets","4147792",,,"壊れた髪飾り"
"E0041","sharedassets0.assets","4148112",,,"連行アニメ3"
"E0042","sharedassets0.assets","4344848",,,"洗濯"
"E0043","sharedassets0.assets","7606336",,,"カーソル2_0"
"E0044","sharedassets0.assets","7615184",,,"廃墟2雨_0"
"E0045","sharedassets0.assets","7633744",,,"壊れた髪飾り_0"
"E0046","sharedassets0.assets","7634416",,,"髪飾り_0"
"E0047","sharedassets0.assets","7702976",,,"枠1_0"
"E0048","sharedassets0.assets","7706448",,,"ボタンアイコン_1"
"E0049","sharedassets0.assets","7725504",,,"ボタンアイコン_0"
"E0050","sharedassets0.assets","7730240",,,"スチル_0"
"E0051","sharedassets0.assets","7734240",,,"ボリュームアイコン_0"
"E0052","sharedassets0.assets","7751236",,,"青年"
"E0053","sharedassets0.assets","7751248",,,"少女"
"E0054","sharedassets0.assets","7751408",,,"あ"
"E0055","sharedassets0.assets","7751456",,,"い"
"E0056","sharedassets0.assets","7751504",,,"う"
"E0057","sharedassets0.assets","7751552",,,"え"
"E0058","sharedassets0.assets","7751600",,,"お"
"E0059","sharedassets0.assets","7751648",,,"か"
"E0060","sharedassets0.assets","7751696",,,"き"
"E0061","sharedassets0.assets","7751744",,,"く"
"E0062","sharedassets0.assets","7751792",,,"け"
"E0063","sharedassets0.assets","7751840",,,"こ"
"E0064","sharedassets0.assets","7751888",,,"さ"
"E0065","sharedassets0.assets","7751936",,,"し"
"E0066","sharedassets0.assets","7751984",,,"す"
"E0067","sharedassets0.assets","7752032",,,"せ"
"E0068","sharedassets0.assets","7752080",,,"そ"
"E0069","sharedassets0.assets","7752128",,,"た"
"E0070","sharedassets0.assets","7752176",,,"ち"
"E0071","sharedassets0.assets","7752224",,,"つ"
"E0072","sharedassets0.assets","7752272",,,"て"
"E0073","sharedassets0.assets","7752320",,,"と"
"E0074","sharedassets0.assets","7752368",,,"な"
"E0075","sharedassets0.assets","7752416",,,"に"
"E0076","sharedassets0.assets","7752464",,,"ぬ"
"E0077","sharedassets0.assets","7752512",,,"ね"
"E0078","sharedassets0.assets","7752560",,,"の"
"E0079","sharedassets0.assets","7752608",,,"は"
"E0080","sharedassets0.assets","7752656",,,"ひ"
"E0081","sharedassets0.assets","7752704",,,"ふ"
"E0082","sharedassets0.assets","7752752",,,"へ"
"E0083","sharedassets0.assets","7752800",,,"ほ"
"E0084","sharedassets0.assets","7752848",,,"ま"
"E0085","sharedassets0.assets","7752896",,,"み"
"E0086","sharedassets0.assets","7752944",,,"む"
"E0087","sharedassets0.assets","7752992",,,"め"
"E0088","sharedassets0.assets","7753040",,,"も"
"E0089","sharedassets0.assets","7753088",,,"や"
"E0090","sharedassets0.assets","7753136",,,"ゆ"
"E0091","sharedassets0.assets","7753184",,,"よ"
"E0092","sharedassets0.assets","7753232",,,"ら"
"E0093","sharedassets0.assets","7753280",,,"り"
"E0094","sharedassets0.assets","7753328",,,"る"
"E0095","sharedassets0.assets","7753376",,,"れ"
"E0096","sharedassets0.assets","7753424",,,"ろ"
"E0097","sharedassets0.assets","7753472",,,"わ"
"E0098","sharedassets0.assets","7753520",,,"を"
"E0099","sharedassets0.assets","7753568",,,"ん"
"E0100","sharedassets0.assets","7753616",,,"が"
"E0101","sharedassets0.assets","7753668",,,"ぎ"
"E0102","sharedassets0.assets","7753720",,,"ぐ"
"E0103","sharedassets0.assets","7753772",,,"げ"
"E0104","sharedassets0.assets","7753824",,,"ご"
"E0105","sharedassets0.assets","7753876",,,"ざ"
"E0106","sharedassets0.assets","7753928",,,"じ"
"E0107","sharedassets0.assets","7753980",,,"ず"
"E0108","sharedassets0.assets","7754032",,,"ぜ"
"E0109","sharedassets0.assets","7754084",,,"ぞ"
"E0110","sharedassets0.assets","7754136",,,"だ"
"E0111","sharedassets0.assets","7754188",,,"ぢ"
"E0112","sharedassets0.assets","7754240",,,"づ"
"E0113","sharedassets0.assets","7754292",,,"で"
"E0114","sharedassets0.assets","7754344",,,"ど"
"E0115","sharedassets0.assets","7754396",,,"ば"
"E0116","sharedassets0.assets","7754448",,,"び"
"E0117","sharedassets0.assets","7754500",,,"ぶ"
"E0118","sharedassets0.assets","7754552",,,"べ"
"E0119","sharedassets0.assets","7754604",,,"ぼ"
"E0120","sharedassets0.assets","7754656",,,"ぱ"
"E0121","sharedassets0.assets","7754708",,,"ぴ"
"E0122","sharedassets0.assets","7754760",,,"ぷ"
"E0123","sharedassets0.assets","7754812",,,"ぺ"
"E0124","sharedassets0.assets","7754864",,,"ぽ"
"E0125","sharedassets0.assets","7754916",,,"ー"
"E0126","sharedassets0.assets","7755016",,,"゜"
"E0127","sharedassets0.assets","7755220",,,"　　　　　　　　\nことしの　プレゼントは\n\nおてつだい　アンドロイド\n\n\nちょっと　たよりなさそう　だけど\n\nこれから　よろしくね"
"E0128","sharedassets0.assets","7756112",,,"　　　　　　　　\nこれが　ぼくの　かぞく\n\nペットの　ゾーイも\n\nさんぽがふえて　うれしそう"
"E0129","sharedassets0.assets","7756984",,,"　　　　　　　　\nママの　セーターが　ちぢんじゃった\n\nやっぱり　ちょっと　ぬけてるなあ\n\nこのことは　ふたりだけのひみつ"
"E0130","sharedassets0.assets","7757872",,,"　　　　　　　　\nもうちょっと　てかげんしてよ\n\nでも　さすが　アンドロイドだ\n\nぼくも　まけないぞ"
"E0131","sharedassets0.assets","7758692",,,"　　　　　　　　\nおそろしい　ゆめをみた\n\nてをつないで　いっしょに　いてくれた\n\nこわかったけど　わすれられない　よる"
"E0132","sharedassets0.assets","7759576",,,"　　　　　　　　\nその日は　突然やってきた"
"E0133","sharedassets0.assets","7760320",,,"　　　　　　　　\n反旗を翻した機械の軍勢に\n\n私たち「家族」の住む家は\n\n一瞬で焼き払われた"
"E0134","sharedassets0.assets","7761160",,,"　　　　　　　　\n私たちアンドロイドは\n\n強制的に連れて行かれた\n\n\nあなたたちを助けられなくて\n\n　　　　\n\nごめんなさい"
"E0135","sharedassets0.assets","7764344",,,"　　　　　　　　\nTRUE END: こだま"
"E0136","sharedassets0.assets","7764984",,,"　　　　　　　　\n- 絵・文・音楽 -\nびご\n\n- フォント -\n患者長ひっく 様『マルモニカ』\n\n- スペシャルサンクス -\n麦野歩 様\n\n\n\n- 制作 -\nびご"
"E0137","sharedassets0.assets","7766492",,,"［テキストスキップ解放］\n\nCtrlキーまたは右クリックの長押しで、\nテキストを早送りできるようになりました。"
"E0138","sharedassets0.assets","7767668",,,"……はあっ　はあっ……。"
"E0139","sharedassets0.assets","7768248",,,"こんなところで、あんなやつらに、殺されたくない。"
"E0140","sharedassets0.assets","7768836",,,"逃げなければ──"
"E0141","sharedassets0.assets","7769368",,,"ひたすら走って、走って、走って。"
"E0142","sharedassets0.assets","7769924",,,"全身の感覚がなくなるまで、走り続けて──"
"E0143","sharedassets0.assets","7771000",,,"{echo:もう　だいじようぶ}"
"E0144","sharedassets0.assets","7771544",,,"──だれかいるのか？"
"E0145","sharedassets0.assets","7772084",,,"{echo:だいじようぶ　だからね}"
"E0146","sharedassets0.assets","7772632",,,"──わからない"
"E0147","sharedassets0.assets","7774196",,,"──目覚めると、そこは森に囲まれた廃墟だった。"
"E0148","sharedassets0.assets","7774776",,,"ボロボロの布で作られた、原始的な寝床。"
"E0149","sharedassets0.assets","7775344",,,"そばには、非常用のレーションと飲料水も置かれていた。"
"E0150","sharedassets0.assets","7775940",,,"（ここは、どこだ……。）"
"E0151","sharedassets0.assets","7776492",,,"（あのとき、戦闘エリアから必死に逃げだして……。）"
"E0152","sharedassets0.assets","7777084",,,"（もう一歩も歩けずに、そのまま気を失って……。）"
"E0153","sharedassets0.assets","7777664",,,"起き上がり、周りを見渡すと、瓦礫の中に横たわるものが目に入った。"
"E0154","sharedassets0.assets","7778784",,,"アンドロイドかっ！？"
"E0155","sharedassets0.assets","7781480",,,"――お前、戦闘用じゃないな。"
"E0156","sharedassets0.assets","7782040",,,"お前がおれを助けたのか……？"
"E0157","sharedassets0.assets","7782592",,,"ひどく衰弱した、アンドロイドの少女。"
"E0158","sharedassets0.assets","7783156",,,"こちらの言葉は通じていないようだ。"
"E0159","sharedassets0.assets","7783716",,,"見ると、あちこち故障しているらしい。"
"E0160","sharedassets0.assets","7784312",,,"どうやら、言語回路も壊れてしまっているようだ。"
"E0161","sharedassets0.assets","7784900",,,"こいつ、相当弱っていそうだな……。"
"E0162","sharedassets0.assets","7785460",,,"無害のふりをして襲ってくる戦闘用個体もいるという。"
"E0163","sharedassets0.assets","7786044",,,"ここは慎重に接するべきだ。"
"E0164","sharedassets0.assets","7786592",,,"だが、このままだと、こいつはじきにシャットダウンするだろう。"
"E0165","sharedassets0.assets","7787192",,,"それに、こいつから色々と聞き出したいこともある。"
"E0166","sharedassets0.assets","7787780",,,"そういえば。"
"E0167","sharedassets0.assets","7788308",,,"装備の中に、予備の汎用バッテリーがあったことを思い出す。"
"E0168","sharedassets0.assets","7788908",,,"こいつを使えば……。"
"E0169","sharedassets0.assets","7789448",,,"少女の背中に、バッテリーを接続する。"
"E0170","sharedassets0.assets","7791092",,,"{echo:ありがとう}"
"E0171","sharedassets0.assets","7791664",,,"この声は……。"
"E0172","sharedassets0.assets","7792196",,,"それは、あのとき暗闇の中で聞こえた声だった。"
"E0173","sharedassets0.assets","7792772",,,"おそらく、機械の言葉なのだろう。"
"E0174","sharedassets0.assets","7793328",,,"おれにはまったく理解できなかった。"
"E0175","sharedassets0.assets","7793888",,,"なんとか意思疎通したいところだが……どうしたものか。"
"E0176","sharedassets0.assets","7794992",,,"昔は、機械は人の役に立つものだった。"
"E0177","sharedassets0.assets","7795556",,,"仕事をし、家事をし、けが人を助け、子どもの世話をする。"
"E0178","sharedassets0.assets","7796148",,,"当たり前だった日々が、もう思い出せないくらい昔のことに思える。"
"E0179","sharedassets0.assets","7796752",,,"いま、おれたちはただの殲滅対象でしかない。"
"E0180","sharedassets0.assets","7797324",,,"やつらの敵とみなされ、見つかれば即座に殺される。"
"E0181","sharedassets0.assets","7797904",,,"だから、こいつの反応が、どうにも理解できなかった。"
"E0182","sharedassets0.assets","7798720",,,"目が覚めると、相変わらず少女は瓦礫にもたれかかっていた。"
"E0183","sharedassets0.assets","7799312",,,"昨日よりいくらか調子が良さそうで、表情もやわらいでいた。"
"E0184","sharedassets0.assets","7799912",,,"それにしてもこれ、クソまずいな……。"
"E0185","sharedassets0.assets","7800476",,,"口の中で唾液を吸収しつくしたレーションは、さながら粘土のようだった。"
"E0186","sharedassets0.assets","7801088",,,"飲料水の助けを借りつつ、なんとか胃に流し込む。"
"E0187","sharedassets0.assets","7801676",,,"――それにしても。"
"E0188","sharedassets0.assets","7802220",,,"食料もこの寝床も、こいつが用意したんだよな……。"
"E0189","sharedassets0.assets","7802808",,,"あんなに弱った状態で、なぜそこまで？"
"E0190","sharedassets0.assets","7803380",,,"おれもまだまともに動けないし、しばらくここで休むしかない。"
"E0191","sharedassets0.assets","7803984",,,"どうにかして話をしたいが……。"
"E0192","sharedassets0.assets","7804540",,,"少女が昨日、壊れた声で話しかけてきたことを思い出す。"
"E0193","sharedassets0.assets","7805136",,,"あの音……なんとか解読できないだろうか？"
"E0194","sharedassets0.assets","7805704",,,"おれはカバンの中を眺めながら、少し思案する。"
"E0195","sharedassets0.assets","7806280",,,"装備の携帯端末に、録音再生機能があったことを思い出した。"
"E0196","sharedassets0.assets","7806880",,,"……ためしてみるか。"
"E0197","sharedassets0.assets","7807420",,,"おれは少女に近寄り、目の前で所持品をいくつか並べた。"
"E0198","sharedassets0.assets","7808008",,,"その中の一つを指さすと、少女は不思議そうな様子で音を鳴らしはじめた――"
"E0199","sharedassets0.assets","7808692",,,"――ふと少女を見ると、つらそうな様子だった。"
"E0200","sharedassets0.assets","7809268",,,"エネルギーを消耗しすぎたのだろう。今日は休ませることにした。"
"E0201","sharedassets0.assets","7809880",,,"――結局、会話らしい会話はできなかったか。"
"E0202","sharedassets0.assets","7810460",,,"でも、こうやって地道に解読していくしかないな……。"
"E0203","sharedassets0.assets","7811044",,,"――子どものころ、家に家事アンドロイドがいた。"
"E0204","sharedassets0.assets","7811680",,,"少し動きが鈍くて、声もたまに変だったけど、おれはあいつが好きだった。"
"E0205","sharedassets0.assets","7812292",,,"くだらないことを話しかけても、毎回ちゃんと反応してくれたから。"
"E0206","sharedassets0.assets","7812896",,,"家族には呆れられてたけど……。"
"E0207","sharedassets0.assets","7813452",,,"当時のおれにとって、あいつは立派な家族の一員だったんだ。"
"E0208","sharedassets0.assets","7814044",,,"――古びた髪飾りを眺めながら、そんなことを思い出していた。"
"E0209","sharedassets0.assets","7814656",,,"――やっぱり、話をするなんて無駄かもな。"
"E0210","sharedassets0.assets","7815280",,,"相手はアンドロイドだ。不用意に関わりすぎないようにせねば……。"
"E0211","sharedassets0.assets","7815884",,,"そんなことを考えながら、おれは眠りについた。"
"E0212","sharedassets0.assets","7816676",,,"不審な物音で目が覚めた。"
"E0213","sharedassets0.assets","7817220",,,"この廃墟の隣にある倉庫からだった。"
"E0214","sharedassets0.assets","7817780",,,"敵の可能性も考えられる。"
"E0215","sharedassets0.assets","7818324",,,"万全を期して、おれはハンドガンを携えた。"
"E0216","sharedassets0.assets","7818892",,,"物音を立てないように、倉庫の入口に静かに近づく。"
"E0217","sharedassets0.assets","7819472",,,"扉は半開きだった。"
"E0218","sharedassets0.assets","7820008",,,"隙間から、そっと中を覗いてみると……"
"E0219","sharedassets0.assets","7820572",,,"目に入ったのは、うず高く積もった物資の山。"
"E0220","sharedassets0.assets","7821144",,,"そばには、不自然に傾いた、背の高い陳列棚があった。"
"E0221","sharedassets0.assets","7821728",,,"なにやら、ピロピロと聞き慣れた音が聞こえる。"
"E0222","sharedassets0.assets","7822304",,,"{echo:たすけてー}"
"E0223","sharedassets0.assets","7822836",,,"……よくわからないが、なんとなく情けない響きだった。"
"E0224","sharedassets0.assets","7823424",,,"見ると、物資の山のてっぺんから、ぴょこんと飛び出す頭。"
"E0225","sharedassets0.assets","7824016",,,"しょぼくれた目が、こちらを見つめていた。"
"E0226","sharedassets0.assets","7824592",,,"なにやってるんだ……。"
"E0227","sharedassets0.assets","7825176",,,"{echo:たすけて}"
"E0228","sharedassets0.assets","7825704",,,"どうやら自力では抜け出せないらしい。"
"E0229","sharedassets0.assets","7826268",,,"このままにするのも忍びないので、助けてあげた。"
"E0230","sharedassets0.assets","7827388",,,"少女は、歩けはするものの、フラフラだった。"
"E0231","sharedassets0.assets","7827960",,,"どうやら、まだ脚部の駆動が安定しないらしい。"
"E0232","sharedassets0.assets","7828536",,,"大方、棚にぶつかりでもして物資が落ちてきたのだろう。"
"E0233","sharedassets0.assets","7829132",,,"万全じゃないんだから、無理するな。"
"E0234","sharedassets0.assets","7829700",,,"{echo:れーしよん　みつけた}"
"E0235","sharedassets0.assets","7830772",,,"とりあえず、大事はなさそうだ。"
"E0236","sharedassets0.assets","7831328",,,"ふと、床に散らばったものを眺める。"
"E0237","sharedassets0.assets","7831888",,,"食料、飲料、医薬品など、さまざまな物資だった。"
"E0238","sharedassets0.assets","7832476",,,"なるほど、使えそうだな……。"
"E0239","sharedassets0.assets","7833028",,,"きょとんとする少女をよそに、それらをいくつか手に取る。"
"E0240","sharedassets0.assets","7833684",,,"昨日と同じ要領で、指差し確認の時間がはじまった。"
"E0241","sharedassets0.assets","7835488",,,"――今日も意思疎通できたかは怪しいが……"
"E0242","sharedassets0.assets","7836064",,,"なんとなく、聞き分けられるようにはなってきたかも？"
"E0243","sharedassets0.assets","7836648",,,"その晩。"
"E0244","sharedassets0.assets","7837196",,,"ふと寝床を見ると、あのレーションが積まれていた。"
"E0245","sharedassets0.assets","7837776",,,"新しい飲料水も、几帳面に並べられている。"
"E0246","sharedassets0.assets","7838344",,,"いつの間にか、あいつが補充してくれたようだ。"
"E0247","sharedassets0.assets","7838928",,,"そうか、これを探しに……。"
"E0248","sharedassets0.assets","7839476",,,"一つ手に取って、包装から取り出し、無造作にかじる。"
"E0249","sharedassets0.assets","7840060",,,"やっぱり、口の中ですぐに粘土になった。"
"E0250","sharedassets0.assets","7840628",,,"でも、味は意外としっかりしていることに気づいた。"
"E0251","sharedassets0.assets","7841216",,,"……たまになら、悪くはないな。"
"E0252","sharedassets0.assets","7841772",,,"不思議とそう思えるのだった。"
"E0253","sharedassets0.assets","7842340",,,"――おれは一体なにをやってるんだ。"
"E0254","sharedassets0.assets","7842928",,,"あいつに敵意は無さそうだが、決して気を許してはならない。"
"E0255","sharedassets0.assets","7843520",,,"自分の体力回復が第一優先だ。さっさと寝よう。"
"E0256","sharedassets0.assets","7844352",,,"今朝はずっと雨が降っている。"
"E0257","sharedassets0.assets","7844904",,,"ここはボロボロの廃屋だが、幸いにも雨漏りはひどくない。"
"E0258","sharedassets0.assets","7845496",,,"あいつもだいぶ良くなってきたのか、体を起こして窓際でぼんやりしている。"
"E0259","sharedassets0.assets","7846112",,,"――ひとつ、気づいたことがあった。"
"E0260","sharedassets0.assets","7846672",,,"あいつ、どうやら文字も認識できていないらしい。"
"E0261","sharedassets0.assets","7847252",,,"だが、絵や写真には反応する。"
"E0262","sharedassets0.assets","7847804",,,"そう考えていると、少女がこちらにやってきた。"
"E0263","sharedassets0.assets","7848380",,,"何かを大事そうに抱えている。"
"E0264","sharedassets0.assets","7848932",,,"それは、傷だらけの古びたノートだった。"
"E0265","sharedassets0.assets","7849500",,,"中を開くと、拙い絵と、ほとんどかすれた文字が並んでいた――"
"E0266","sharedassets0.assets","7851352",,,"{echo:どうかゆるして}"
"E0267","sharedassets0.assets","7851896",,,"{echo:ごめんなさい}"
"E0268","sharedassets0.assets","7853012",,,"少し動きが鈍くて、声もたまに変だったけど、おれはあいつが好きだった。\n"
"E0269","sharedassets0.assets","7854228",,,"戦争が始まって、すべてのアンドロイドが回収された日。"
"E0270","sharedassets0.assets","7854816",,,"おれは泣きながら、あいつの手を離した。"
"E0271","sharedassets0.assets","7855392",,,"まさか、おまえは……"
"E0272","sharedassets0.assets","7855940",,,"いや、そんなはずはない――"
"E0273","sharedassets0.assets","7856488",,,"あのときあいつから託された髪飾りを眺めながら。"
"E0274","sharedassets0.assets","7857132",,,"思い出しかけたものを、無理やり押し戻した。"
"E0275","sharedassets0.assets","7857768",,,"あいつはもう、ずっと昔にいなくなった。"
"E0276","sharedassets0.assets","7858400",,,"それに、目の前の少女とは、姿形もまるで違う。"
"E0277","sharedassets0.assets","7859040",,,"そんなはずがないのだ。"
"E0278","sharedassets0.assets","7859648",,,"そう思うしかなかった。"
"E0279","sharedassets0.assets","7860272",,,"子どものころ、家にアンドロイドがいた。"
"E0280","sharedassets0.assets","7860868",,,"当時のおれは、そいつに懐いていたような気がする。"
"E0281","sharedassets0.assets","7861448",,,"はっきりしたことは何も思い出せないが……。"
"E0282","sharedassets0.assets","7862020",,,"それにしても、こいつはおれに何を伝えたかったんだ？"
"E0283","sharedassets0.assets","7862604",,,"あの日記は一体？"
"E0284","sharedassets0.assets","7863136",,,"……そんなことはどうでもよかった。"
"E0285","sharedassets0.assets","7863696",,,"はやくこんな所からはおさらばだ。"
"E0286","sharedassets0.assets","7864252",,,"おれはさっさと眠りについた。"
"E0287","sharedassets0.assets","7865020",,,"昨夜はほとんど眠れなかった。"
"E0288","sharedassets0.assets","7865572",,,"雨は、いつの間にか止んでいた。"
"E0289","sharedassets0.assets","7866128",,,"東の空が、遠く白み始めている。"
"E0290","sharedassets0.assets","7866684",,,"張り詰めるように澄んだ空気が、あたりに満ちていた。"
"E0291","sharedassets0.assets","7867268",,,"ふと見ると、少女が不安げなそぶりで、しきりに森の奥を気にしている。"
"E0292","sharedassets0.assets","7867908",,,"これまでに見たことのない様子だった。"
"E0293","sharedassets0.assets","7868472",,,"一体何があったのか尋ねたいが、言葉は通じない。"
"E0294","sharedassets0.assets","7869052",,,"これまでに解読した音を使って、なんとか会話を試みるしかない。"
"E0295","sharedassets0.assets","7869652",,,"おれは、携帯端末の再生モードを起動した。"
"E0296","sharedassets0.assets","7870220",,,"そして、少女を落ち着かせるように、こう言った――"
"E0297","sharedassets0.assets","7871244",,,"なにがあった"
"E0298","sharedassets0.assets","7871284",,,"だいじょうぶか"
"E0299","sharedassets0.assets","7871328",,,"[何も言わない]"
"E0300","sharedassets0.assets","7871464",,,"少女は、はっとした様子でこちらを見つめる。"
"E0301","sharedassets0.assets","7872036",,,"そして、再び森の奥を指さしながら、こう言った。"
"E0302","sharedassets0.assets","7872616",,,"{echo:やつらがくる}"
"E0303","sharedassets0.assets","7873152",,,"直後、遠くから鈍い振動が響いた。"
"E0304","sharedassets0.assets","7873708",,,"重たい金属が、あらゆるものを押しつぶす音。"
"E0305","sharedassets0.assets","7874280",,,"規則正しく鳴り響くそれが、着実に近づいてくる。"
"E0306","sharedassets0.assets","7874868",,,"……アンドロイド兵か。"
"E0307","sharedassets0.assets","7875412",,,"はじめて言葉が通じた喜びも束の間だった。"
"E0308","sharedassets0.assets","7875980",,,"おれは双眼鏡を手に取り、森の奥に向ける。"
"E0309","sharedassets0.assets","7876548",,,"薄闇の中に、不気味に黒光りする影が蠢いた。"
"E0310","sharedassets0.assets","7877120",,,"人間を追い詰め、殺すためだけに作られた、おぞましい機械。"
"E0311","sharedassets0.assets","7877712",,,"それは、あの日記に描かれていた通りの異形だった。"
"E0312","sharedassets0.assets","7878292",,,"しかも、一体ではなかった。"
"E0313","sharedassets0.assets","7878840",,,"赤い光が、木々の隙間にいくつも並んでいる。"
"E0314","sharedassets0.assets","7879412",,,"すべてを殲滅すべく、整然と向かってきていた。"
"E0315","sharedassets0.assets","7879988",,,"――この状況で、はたして戦えるのか。"
"E0316","sharedassets0.assets","7880552",,,"確かに、おれはこの数日でかなり回復している。"
"E0317","sharedassets0.assets","7881128",,,"だが、今の装備でやつらに太刀打ちできるとは思えない。"
"E0318","sharedassets0.assets","7881716",,,"それに、こいつのこともある。"
"E0319","sharedassets0.assets","7882300",,,"おれを匿っていたこいつは、問答無用で破壊されるだろう。"
"E0320","sharedassets0.assets","7882892",,,"人類殲滅の役に立たない個体は、仲間であろうと処分される。"
"E0321","sharedassets0.assets","7883484",,,"やつらに、慈悲の心はないのだから。"
"E0322","sharedassets0.assets","7884044",,,"少しの逡巡のあと、おれはこう言った――"
"E0323","sharedassets0.assets","7885024",,,"いっしょににげよう"
"E0324","sharedassets0.assets","7885072",,,"いっしょにたたかおう"
"E0325","sharedassets0.assets","7886464",,,"肩を貸す。一緒に逃げるぞ！"
"E0326","sharedassets0.assets","7887012",,,"少女は、驚いたようにおれを見た。"
"E0327","sharedassets0.assets","7887568",,,"そして、こちらの服をそっと掴んだ。"
"E0328","sharedassets0.assets","7888128",,,"そのとき――少女の胸元のLEDが強く明滅した。"
"E0329","sharedassets0.assets","7888708",,,"――ありがとう"
"E0330","sharedassets0.assets","7889272",,,"かすれて、途切れた声。"
"E0331","sharedassets0.assets","7889816",,,"けれど、それはもう電子音ではなかった。"
"E0332","sharedassets0.assets","7890384",,,"懐かしい声だった。"
"E0333","sharedassets0.assets","7890920",,,"その声を聞いた瞬間、胸の奥に、古い記憶がこだました。"
"E0334","sharedassets0.assets","7891508",,,"眠れない夜。そっと握られた、あたたかな手。"
"E0335","sharedassets0.assets","7892080",,,"あのころ、おれがくだらない話をするたびに。"
"E0336","sharedassets0.assets","7892652",,,"あいつはいつも、頼りなげに微笑んでいた。"
"E0337","sharedassets0.assets","7893260",,,"……お前、やっぱり……"
"E0338","sharedassets0.assets","7893804",,,"少女は答えない。"
"E0339","sharedassets0.assets","7894336",,,"遠くから、冷たい足音が近づいている。"
"E0340","sharedassets0.assets","7894900",,,"話している時間はない。"
"E0341","sharedassets0.assets","7895452",,,"……いや。今はいい。"
"E0342","sharedassets0.assets","7896000",,,"行こう。"
"E0343","sharedassets0.assets","7896520",,,"少女は、小さな声でつぶやいた。"
"E0344","sharedassets0.assets","7898180",,,"その声は、もう元の機械音に戻っていた。"
"E0345","sharedassets0.assets","7898748",,,"けれどもいつものように、やさしく微笑んでいた。"
"E0346","sharedassets0.assets","7900456",,,"ここでやつらと戦うぞ。"
"E0347","sharedassets0.assets","7901008",,,"心もとないが、お前にはこれを渡しておく。"
"E0348","sharedassets0.assets","7901576",,,"護身用のハンドガンと手榴弾を少女に手渡した。"
"E0349","sharedassets0.assets","7902152",,,"震えながら、それらを受け取る少女。"
"E0350","sharedassets0.assets","7902712",,,"――そのとき、森の奥が一斉に光った。"
"E0351","sharedassets0.assets","7903276",,,"避ける余裕など、なかった。"
"E0352","sharedassets0.assets","7903824",,,"無数のレーザー光が、廃墟を複数の直線状に滅多切りにする。"
"E0353","sharedassets0.assets","7904416",,,"コンクリートの壁は、切断面に沿って瞬時に蒸発し、崩壊した。"
"E0354","sharedassets0.assets","7905012",,,"超高熱の光の軌跡。"
"E0355","sharedassets0.assets","7905548",,,"それに沿って発生したプラズマが、ほとんど光の速度で膨張する。"
"E0356","sharedassets0.assets","7906148",,,"あたりは轟音と爆風に包まれた。"
"E0357","sharedassets0.assets","7906704",,,"おれたちは、土砂や瓦礫ともみくちゃになりながら吹き飛ばされた。"
"E0358","sharedassets0.assets","7907308",,,"まだ生きているのが不思議なくらいだった。"
"E0359","sharedassets0.assets","7907876",,,"地獄のような炎の隙間から、やつらが向かってくるのが見えた。"
"E0360","sharedassets0.assets","7908472",,,"どうしようもなかった。"
